Occurence Nature condition,,Report,Occurence Nature condition,prediction
OTHER                     ,52726,"['flight', 'crew', 'reported', 'yaw', 'dampener', 'channel', '1', 'would', 'engage', 'climb', 'operations', 'continued', 'per', 'mel', '22202', 'maintenance', 'event', 'maintenance', 'team', 'troubleshot', 'found', 'yaw', 'dampener', 'linear', 'actuator', 'defective', 'actuator', 'replaced', 'repaired', 'unit', 'ops', 'checks', 'satisfactory', 'aircraft', 'returned', 'servic']",OTHER                     ,FALSE WARNING             
OTHER                     ,60763,"['aircraft', 'base', 'maintenance', 'corrosion', '1', 'engine', 'board', 'thrust', 'reverser', 'aft', 'hinge', 'bolt', 'maintenance', 'replaced', 'hinge', 'bolt', 'per', 'amm', '783211']",OTHER                     ,NO TEST                   
OTHER                     ,51984,"['flt', '129', 'sdqbos', 'emergency', 'exit', 'sign', 'read', 'cabin', 'aisle', 'burned', 'out', 'resecured', 'emergency', 'exit', 'light', 'ops', 'check', 'ok', 'per', 'amm', '335117', 'ac', 'ok', 'service', 'mcc', 'notifi']",OTHER                     ,NO TEST                   
OTHER                     ,13554,"['42852', 'esn', 'v10979', 'due', 'ifsd', 'accomplish', 'windmill', 'inspection', 'per', 'amm', '720000200021', '4a2b', 'report', 'findings', 'tomc', 'emc', 'flagging', 'sdr', 'flt', '236901', 'performed', 'windmill', 'inspection', 'per', 'amm', '7200002000214', '2', 'b', 'replaced', 'main', 'pump', 'oil', 'filter', 'scavenge', 'oil', 'filter', 'found', 'normal', 'ran', 'engines', 'leak', 'check', 'normal', 'accomplished', 'inspection', 'per', 'amm7300002000214', 'normal', 'restored', 'normal', 'configur']",OTHER                     ,FLUID LOSS                
OTHER                     ,10131,"['per', 'tc', '78472010', '2', 'eng', 'fan', 'blade', 'lube', '4', 'blade', 'cuniin', 'coating', 'missing', 'beyond', 'limits', 'grounded', 'yes', 'removed', 'replaced', '4', 'fan', 'blade', 'set', '2', 'engine', 'per', 'tc', '78472010']",OTHER                     ,INADEQUATE Q C            
OTHER                     ,96824,"['ship', '1813', 'emerg', 'lights', 'keptcoming', 'every', '5', 'minthen', 'every', '5', 'min', 'corrective', 'action', 'performed', 'emergency', 'lights', 'check', 'test', 'iaw', 'b767400', 'amm', '3351', '2600579']",OTHER                     ,NO WARNING INDICATION     
OTHER                     ,87302,"['girt', 'bar', 'fwd', 'service', 'door', 'stuck', 'retaining', 'clip', '01', 'removed', 'installed', 'original', 'girt', 'bar', 'retaining', 'clip', 'iaw', 'amm', '256600', 'op', 'check', 'good']",OTHER                     ,F.O.D.                    
NO WARNING INDICATION     ,71239,"['escape', 'slight', 'engagement', 'light', 'l1', 'door', 'indication', 'unreliable', 'inop', 'part', '18mar22', '1435', 'okc', 'u', 'identified', 'parts', 'sensor', 'mpn', '60b4001841', 'l1', 'identify', 'l1', 'andor', 'r1', 'escape', 'slide', 'girt', 'bar', 'engagement', 'lights', 'inop', 'verify', 'record', 'amleaml', 'associated', 'slide', 'visually', 'verified', 'engaged', 'prior', 'departure', 'girt', 'bar', 'engages', 'normally', 'found', 'debris', 'around', 'forward', 'sensor', 's10215', 'removed', 'suspect', 'sensor', 'faulty', 'ordered', 'sensor', 'c7309400', 'removed', 'replaced', 'forward', 'girt', 'bar', 'proximity', 'switch', 'iaw', 'b757', 'amm', '2566112', 'ops', 'checks', 'normal', 'part', 'removed', 'girt', 'bar', 'proximity', 'switch', 'pn', '81020401']",NO WARNING INDICATION     ,F.O.D.                    
OTHER                     ,87294,"['forward', 'entry', 'door', 'slide', 'yellow', 'caution', 'flap', 'exposed', '01', 'placed', 'velcro', 'cover', 'back', 'l1', 'door', 'escape', 'slide', 'handle', 'per', 'sip']",OTHER                     ,NO WARNING INDICATION     
OTHER                     ,16159,"['cockpit', 'overhead', 'emergency', 'flood', 'lights', 'inoperative', 'maintenance', 'replaced', 'emergency', 'battery', 'pack', 'sta', '175', 'r1', 'door', 'per', 'b717', 'amm', '3351', 'lp', '7444921']",OTHER                     ,NO TEST                   
